CrashId,VehicleId,PersonId,Age,Gender,Gender Text Format,State,Postal Code,Person Type,Person Type Text Format,Injury Status,Injury Status Text Format,Condition at Time of Crash,Condition at Time of Crash Text Format,Condition at Time of Crash2,Condition at Time of Crash2 Text Format,Action Taken by Officer,Action Taken by Officer Text Format,Alcohol Test Status,Alcohol Test Status Text Format,Type Of Alcohol Test,Type Of Alcohol Test Text Format,Drug Test Status,Drug Test Status Text Format,Type Of Drig Test,Type Of Drig Test Text Format,Ejection Status,Ejection Status Text Format,Restraint System,Restraint System Text Format,Helmet Use,Helmet Use Text Format,Air Bag Status,Air Bag Status Text Format,Speeding Related,Speeding Related Text Format,Driver Actions 1,Driver Actions 1 Text Format,Driver Actions 2,Driver Actions 2 Text Format,Driver Actions 3,Driver Actions 3 Text Format,Driver Actions 4,Driver Actions 4 Text Format,Driver Distracted By,Driver Distracted By Text Format,Roadway On Which Nonmotorist Was Traveling/Located,Direction nonmotorist was traveling,Direction Unknown,Striking Motor Vehicle ID,Bicycle ID,Non-Motorist Not In Roadway,Actions or Circumstances Prior to Crash,Actions or Circumstances Prior to Crash Text Format,To or From School,To or From School Text Format,Actions or Circumstances At Time Of Crash,Actions or Circumstances At Time Of Crash Text Format,Actions or Circumstances At Time Of Crash2,Actions or Circumstances At Time Of Crash2 Text Format,Location At Time Of Crash,Location At Time Of Crash Text Format,Safety Equipment,Safety Equipment Text Format,Safety Equipment2,Safety Equipment2 Text Format,Non-motorist Distracted By,Non-motorist Distracted By Text Format,Seating Position,Seating Position Text Format,Seating Position for Bus,City,Country,Driver License Jurisdiction,Driver License Jurisdiction Text Format,Drivers License Issued By,Drivers License Class,Commercial License Class,Commercial License Class Text Format,Transported to First Medical Facility By,Transported to First Medical Facility By Text Format,Name of the EMS agency,Name of the Intended Receiving Facility
1124976,1,1,19,2,Female,CT,06611,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,97,Other Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Trumbull,,2,State,CT,4,1,No,1,Not Transported,,
1126594,2,2,79,1,Male,CT,06483,1,Driver,B,Suspected Minor Injury (B),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,1,No,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Seymour,,2,State,CT,4,1,No,3,EMS Ground,NVAC,DANBURY
1126594,1,1,75,1,Male,CT,06804,1,Driver,K,Fatal Injury (K),97,Other,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,88,Not applicable,99,Unknown,12,Followed Too Closely,16,"Swerved or Avoided Due to Wind, Slippery Surface, Motor Vehicle, Object, Non-Motorist in Roadway, etc.",13,Failed to Keep in Proper Lane,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Brookfield,,2,State,CT,1,,,3,EMS Ground,NVAC,DANBURY
1126594,,5,35,1,Male,,,9,Witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT,,,,,,,
1126594,,4,61,2,Female,CT,06468,9,Witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monroe         ,,,,CT,,,,,,,
1126594,2,3,77,2,Female,CT,06483,2,Passenger,B,Suspected Minor Injury (B),,,,,,,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,Seymour,,2,State,CT,,,,3,EMS Ground,NVAC,DANBURY
1126931,1,1,49,1,Male,CT,06512,1,Driver,K,Fatal Injury (K),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,1,No,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1126931,2,3,38,1,Male,CT,,2,Passenger,O,No Apparent Injury (O),,,,,,,,,,,,,,,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,New Haven,UnitedStates,,,,,,,1,Not Transported,,
1126931,2,2,28,1,Male,CT,06513,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,1,No,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1126932,,2,70,1,Male,CT,,3,Pedestrian,K,Fatal Injury (K),97,Other,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,ELLA T GRASSO BLVD,,TRUE,1,,FALSE,99,Unknown,1,No,99,Unknown,88,Not Applicable,2,Intersection-Unmarked Crosswalk,99,Unknown,88,Not Applicable,99,Unknown if Distracted,,,,New Haven,UnitedStates,88,Not applicable,,,,,1,Not Transported,,
1126932,1,1,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,4,"Restraint Used, Type Unknown",88,Not Applicable,1,Not Deployed,4,Too Fast for Conditions,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
1126932,,3,24,1,Male,CT,06511,9,Witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Haven,UnitedStates,,,,,,,,,,
1127377,2,2,70,1,Male,CT,06095,1,Driver,B,Suspected Minor Injury (B),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Windsor,,2,State,CT,4,1,No,1,Not Transported,,
1127377,1,1,77,1,Male,CT,06120,1,Driver,K,Fatal Injury (K),97,Other,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hartford,,2,State,CT,4,1,No,3,EMS Ground,East Windsor,St. Francis
1130292,1,1,41,1,Male,CT,06854,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,3,Test Given,1,Blood,3,Test Given,1,Blood,1,Not Ejected,88,Not Applicable,1,No Helmet,88,Not applicable,99,Unknown,2,Ran Off Roadway,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Norwalk        ,,2,State,CT,0,1,No,3,EMS Ground,Norwalk EMS,Norwalk Hospital
1132188,,3,49,1,Male,CT,06410,9,Witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHESHIRE,,,,CT,,,,,,,
1132188,2,2,54,2,Female,CT,06053,1,Driver,B,Suspected Minor Injury (B),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,88,Not applicable,1,No,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",11,New Britain,,2,State,CT,1,1,No,3,EMS Ground,Trinity ,ST MARYS
1132188,1,1,52,1,Male,CT,06410,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,3,Deployed-Side,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Cheshire,,2,State,CT,4,1,No,3,EMS Ground,Trinity,ST. MARY'S
1132219,1,2,1,1,Male,,,2,Passenger,K,Fatal Injury (K),,,,,,,,,,,,,,,1,Not Ejected,5,"Child Restraint System, Forward Facing",88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,23,"Second Row, Right Seat",,,,,,CT,,,,3,EMS Ground,AMR,Bridgeport Hospital
1132219,,4,47,1,Male,,,9,Witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT,,,,,,,
1132219,1,1,29,1,Male,CT,06606,1,Driver,A,Suspected Serious Injury (A),99,Unknown,88,Not Applicable,0,None taken,3,Test Given,1,Blood,3,Test Given,1,Blood,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,3,Exceeded Speed Limit,2,Ran Off Roadway,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,BRIDGEPORT,UnitedStates,2,State,CT,3,1,No,3,EMS Ground,AMR,Bridgeport Hospital
1132219,1,3,29,2,Female,,,2,Passenger,A,Suspected Serious Injury (A),,,,,,,,,,,,,,,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,,,,,CT,,,,3,EMS Ground,AMR,Bridgeport Hospital
1132260,1,3,16,1,Male,,,2,Passenger,B,Suspected Minor Injury (B),,,,,,,,,,,,,,,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,HARTFORD,,,,,,,,3,EMS Ground,Wethersfield Ambulance ,CCMC
1132260,1,1,17,1,Male,CT,,1,Driver,A,Suspected Serious Injury (A),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,6,Deployed-Combination,3,Exceeded Speed Limit,14,Operated Motor Vehicle in Reckless or Aggressive Manner,5,Ran Stop Sign,11,Wrong Side or Wrong Way,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hartford,UnitedStates,2,State,CT,0,1,No,3,EMS Ground,Aetna,HHER
1132260,2,2,27,1,Male,CT,06118,1,Driver,C,Possible Injury (C),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,1,No,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,East Hartford,,2,State,CT,4,1,No,3,EMS Ground,Aetna,HHER
1132260,1,4,14,1,Male,CT,06120,2,Passenger,K,Fatal Injury (K),,,,,,,,,,,,,,,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,23,"Second Row, Right Seat",,Hartford,UnitedStates,,,CT,,,,3,EMS Ground,Aetna,CCMC
1133272,1,1,56,1,Male,CT,06790,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Torrington,,2,State,CT,1,1,No,1,Not Transported,,
1133272,,3,29,1,Male,CT,06704,3,Pedestrian,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,Leavenworth Rd,W,FALSE,1,,FALSE,7,"Adjacent to Roadway (e.g., Shoulder, Median)",1,No,99,Unknown,88,Not Applicable,7,Shoulder/Roadside,3,Reflective Clothing,88,Not Applicable,99,Unknown if Distracted,,,,Waterbury,,2,State,CT,,,,97,Other,,
1133272,1,2,57,1,Male,CT,06790,2,Passenger,O,No Apparent Injury (O),,,,,,,,,,,,,,,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,Torrington,,,,CT,,,,1,Not Transported,,
1133914,3,3,44,2,Female,CT,06106,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,11,Wrong Side or Wrong Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hartford,,2,State,CT,0,1,No,1,Not Transported,N/A,N/A
1133914,2,2,36,1,Male,CT,06114,1,Driver,B,Suspected Minor Injury (B),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hartford,,2,State,CT,1,1,No,3,EMS Ground,ASM,hartford hospital
1133914,1,1,73,1,Male,NH,03282,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Wentworth,,2,State,NH,1,2,Yes,1,Not Transported,N/A,N/A
1133914,3,4,44,2,Female,CT,06106,2,Passenger,K,Fatal Injury (K),,,,,,,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,Hartford,,2,State,CT,,,,1,Not Transported,N/A,N/A
1134215,2,2,75,1,Male,CT,06606,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,99,Unknown if Tested,88,Not Applicable,99,Unknown if Tested,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Bridgeport,UnitedStates,2,State,CT,4,1,No,97,Other,O.C.M.E.,O.C.M.E. 
1134215,3,3,32,2,Female,VA,,1,Driver,C,Possible Injury (C),1,Apparently Normal,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,GREAT FALLS,,2,State,VA,4,1,No,3,EMS Ground,A.M.R.,BRIDGEPORT HOSPITAL
1134215,1,1,70,1,Male,PA,17304,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,99,Unknown if Tested,88,Not Applicable,99,Unknown if Tested,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,ASPERS,,2,State,PA,1,2,Yes,97,Other,O.C.M.E.,O.C.M.E. 
1134709,2,2,48,2,Female,CT,06063,1,Driver,K,Fatal Injury (K),97,Other,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,1,No,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Barkhamsted,,2,State,CT,4,1,No,1,Not Transported,,
1134709,1,1,62,1,Male,CT,06070,1,Driver,B,Suspected Minor Injury (B),5,Asleep or Fatigued,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,1,No,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Simsbury,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1134709,3,3,37,1,Male,CT,06492,1,Driver,A,Suspected Serious Injury (A),2,Physically Impaired,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,3,Exceeded Speed Limit,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Wallingford,,2,State,CT,4,1,No,3,EMS Ground,AMR,St. Francis
1135638,1,3,41,1,Male,NY,11704,2,Passenger,O,No Apparent Injury (O),,,,,,,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,West Babylon,,2,State,NY,,,,1,Not Transported,A.M.R.,
