CrashId,Fatal Case Status,Fatal Case Status Text Format,CrashId,CrashId,Latitude,Longitude,DOT Case Number,Town Name,Town Number,Town Number,Town Number Text Format,Date Of Crash,Year,Month,Month Text Format,Day,Day of the Week,Day of the Week Text Format,Time of Crash,Hour of the Day,Case Identifier,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Number Of Non-Motorist,Number Of Witnesses,Route Class,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Latitude,Longitude,First Harmful Event,First Harmful Event Text Format,Manner of Crash / Collision Impact,Manner of Crash / Collision Impact Text Format,Location of First Harmful Event,Location of First Harmful Event Text Format,Weather Condition,Weather Condition Text Format,Weather 2,Weather 2 Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,"Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format",Environment 2,Environment 2 Text Format,Environment 3,Environment 3 Text Format,"Contributing Circumstances, Road","Contributing Circumstances, Road Text Format",Road 2,Road 2 Text Format,Road 3,Road 3 Text Format,Crash Specific Location,Crash Specific Location Text Format,Type of Intersection,Type of Intersection Text Format,School Bus Related,School Bus Related Text Format,Work Zone Related,Work Zone Related Text Format,Location Of Crash Relative To Work Zone,Location Of Crash Relative To Work Zone Text Format,Type of Work Zone,Type of Work Zone Text Format,Worker Presence,Worker Presence Text Format,Law Enforcement Presence,Law Enforcement Presence Text Format,Were Vehicles Moved Prior To Police Arrival,Trafficway Ownership,Trafficway Ownership Text Format,Trafficway Class,Trafficway Class Text Format,Police Agency,Police Agency Text Format,Badge Number,Approval Date,Police Case Status,Police Case Status Text Format,Crash Report Submission Date,Related Case Identifiers,No. of Through Lanes (Log Dir.),Average Daily Traffic,Functional Classification,Functional Classification Text Format,Rural or Urban,Rural or Urban Text Format
1132219,1,Complete,1132219,1132219,41.211607,-73.191499,924029,Bridgeport,15,15,Bridgeport,2/6/24,2024,2,February,6,3,Tuesday,6:04:00,6,2400010450,K,Fatal (Kill),K,Fatal Injury (K),1,0,1,4,Local,0.31,0722,RESERVOIR AV,RESERVOIR AV,,Saunders Ave.,70,Feet,S,41.211607,-73.191499,33,Utility Pole/Light Support,88,Not Applicable,4,Roadside,1,Clear,88,Not Applicable,2,Dawn,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,2,"Trafficway, Not on Road",CT0001509,Bridgeport PD,31853,43:40.0,O,Open,38:57.0,,2,7100,4,MINOR ARTERIAL - NEW HPMS,2,Urban
1132260,1,Complete,1132260,1132260,41.713383,-72.658932,924010,Wethersfield,159,159,Wethersfield,1/14/24,2024,1,January,14,1,Sunday,13:28:00,13,2400001406,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,4,Local,0.34,0041,CHURCH ST,CHURCH ST,,GARDEN ST,55,Feet,E,41.713383,-72.658932,14,Motor Vehicle in Operation,3,Angle,1,On Roadway,2,Cloudy,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0015900,Wethersfield PD,168,34:56.0,O,Open,27:17.0,,2,2500,6,MINOR COLLECTOR - NEW HPMS,2,Urban
1133272,1,Complete,1133272,1133272,41.333886,-73.147839,924037,Shelton,126,126,Shelton,2/9/24,2024,2,February,9,6,Friday,13:03:00,13,2400003962,K,Fatal (Kill),K,Fatal Injury (K),1,1,0,4,Local,0.08,0268,SCHOOL ST,SCHOOL ST,,Leavenworth Rd,400,Feet,E,41.333886,-73.147839,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0012600,Shelton PD,077451,45:05.0,C,Closed,55:05.0,,2,1212,7,LOCAL - NEW HPMS,2,Urban
1133914,1,Complete,1133914,1133914,41.782667,-72.568144,924035,Manchester,77,77,Manchester,2/10/24,2024,2,February,10,7,Saturday,4:27:00,4,2400055003,K,Fatal (Kill),K,Fatal Injury (K),3,0,0,1,Interstate,68.25,84,84-E,84-E,,Exit 62,5,TenthsofMile,W,41.782667,-72.568144,14,Motor Vehicle in Operation,2,Front to front,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,0416,20:58.0,O,Open,22:21.0,,6,97300,1,INTERSTATE - NEW HPMS,2,Urban
1134215,1,Complete,1134215,1134215,41.145461,-73.261096,924018,Fairfield,51,51,Fairfield,1/25/24,2024,1,January,25,5,Thursday,23:59:00,23,2400033619,K,Fatal (Kill),K,Fatal Injury (K),3,0,0,1,Interstate,24.62,95,95-N,95-N,,Exit 22,270,Feet,S,41.145461,-73.261096,14,Motor Vehicle in Operation,1,Front to rear,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,2,Wet,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,0898,26:32.0,O,Open,34:55.0,,,,,,,
1134709,1,Complete,1134709,1134709,41.793314,-72.816146,924036,Avon,4,4,Avon,2/20/24,2024,2,February,20,3,Tuesday,5:16:00,5,2400002633,K,Fatal (Kill),K,Fatal Injury (K),3,0,0,3,State,38.74,10,10-N,10-N,,Reverknolls,300,Feet,S,41.793314,-72.816146,14,Motor Vehicle in Operation,5,"Sideswipe, opposite direction",1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,11,Through Roadway,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0000400,Avon PD,2150,35:28.0,O,Open,55:44.0,,2,14000,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1135638,1,Complete,1135638,1135638,41.28358,-72.935887,924009,New Haven,93,93,New Haven,1/15/24,2024,1,January,15,2,Monday,3:05:00,3,2400019121,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,1,Interstate,46,95,95-N,95-N,,Exit #44 Off-Ramp gore,300,Feet,N,41.28358,-72.935887,15,Parked Motor Vehicle,1,Front to rear,2,Shoulder,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,0605,42:49.0,O,Open,50:32.0,,6,127700,1,INTERSTATE - NEW HPMS,2,Urban
1136502,1,Complete,1136502,1136502,41.19357214,-73.16335438,924062,Bridgeport,15,15,Bridgeport,2/27/24,2024,2,February,27,3,Tuesday,16:32:00,16,2400016593,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,2,USRoute,32.42,1,1-N,1-N,,NORTH RIDGEFIELD AV,125,Feet,N,41.19357214,-73.16335438,14,Motor Vehicle in Operation,3,Angle,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,9,Driveway Access-Related,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0001509,Bridgeport PD,9712,42:06.0,O,Open,27:15.0,,2,16400,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1136503,1,Complete,1136503,1136503,41.665161,-72.921242,924025,Bristol,17,17,Bristol,2/1/24,2024,2,February,1,5,Thursday,23:44:00,23,2400004395,K,Fatal (Kill),K,Fatal Injury (K),1,1,0,3,State,4.14,229,229-N,229-N,,Lake Avenue,36,Feet,N,41.665161,-72.921242,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,99,Unknown,88,Not Applicable,88,Not Applicable,99,Unknown,88,Not Applicable,88,Not Applicable,3,Intersection-Related,2,Four-Way Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,TRUE,1,Public Road,1,"Trafficway, On Road",CT0001700,Bristol PD,P0270,14:38.0,O,Open,03:54.0,,4,29100,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1137902,1,Complete,1137902,1137902,41.678761,-72.712926,924047,Newington,94,94,Newington,2/29/24,2024,2,February,29,5,Thursday,18:15:00,18,2400004889,K,Fatal (Kill),K,Fatal Injury (K),1,1,1,3,State,75.55,15,15-S,15-S,,Churchill Drive,50,Feet,S,41.678761,-72.712926,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0009400,Newington PD,2647,12:00.0,O,Open,29:41.0,,4,34800,3,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2,Urban
1138036,1,Complete,1138036,1138036,41.62031906,-72.9709838,924014,Wolcott,166,166,Wolcott,1/21/24,2024,1,January,21,1,Sunday,2:11:00,2,2400000807,K,Fatal (Kill),K,Fatal Injury (K),1,0,0,3,State,22.67,69,69-N,69-N,,Woodtick Road,3715,Feet,S,41.62031906,-72.9709838,33,Utility Pole/Light Support,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,2,Wet,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0016600,Wolcott PD,235,51:35.0,O,Open,17:59.0,,,,,,,
1138743,1,Complete,1138743,1138743,41.772663,-72.831142,924048,Avon,4,4,Avon,3/3/24,2024,3,March,3,1,Sunday,3:11:00,3,2400003252,K,Fatal (Kill),K,Fatal Injury (K),1,0,0,4,Local,3.26,0003,OLD FARMS RD,OLD FARMS RD,,Tillotson Road,1,TenthsofMile,W,41.772663,-72.831142,25,Curb,88,Not Applicable,4,Roadside,4,Rain,88,Not Applicable,4,Dark-Lighted,2,Wet,1,Weather Conditions,88,Not Applicable,88,Not Applicable,5,"Road Surface Condition (wet, icy, snow, slush, etc.)",88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0000400,Avon PD,1850,31:21.0,O,Open,41:07.0,,2,5300,5,MAJOR COLLECTOR - NEW HPMS,1,Rural
1139981,1,Complete,1139981,1139981,41.87794361,-72.38067393,924051,Tolland,142,142,Tolland,3/3/24,2024,3,March,3,1,Sunday,17:03:00,17,2400084942,K,Fatal (Kill),K,Fatal Injury (K),1,0,1,3,State,10.48,74,74-E,74-E,BURBANK RD,Burbank Rd,30,Feet,W,41.87794361,-72.38067393,28,Guardrail Face,88,Not Applicable,4,Roadside,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,3,Intersection-Related,4,Y-Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,1079,23:02.0,O,Open,30:34.0,,2,5800,4,MINOR ARTERIAL - NEW HPMS,2,Urban
1140060,1,Complete,1140060,1140060,41.284584,-72.844452,924011,Branford,14,14,Branford,1/14/24,2024,1,January,14,1,Sunday,7:22:00,7,2400018036,K,Fatal (Kill),K,Fatal Injury (K),2,0,0,1,Interstate,51.89,95,95-S,95-S,,Exit 53 ent ramp,1.5,TenthsofMile,S,41.284584,-72.844452,14,Motor Vehicle in Operation,2,Front to front,1,On Roadway,1,Clear,88,Not Applicable,1,Daylight,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,11,Through Roadway,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,1214,26:29.0,O,Open,27:55.0,,,,,,,
1141339,1,Complete,1141339,1141339,41.603103,-72.699964,924044,Cromwell,33,33,Cromwell,2/29/24,2024,2,February,29,5,Thursday,20:28:00,20,2400002313,K,Fatal (Kill),K,Fatal Injury (K),1,1,0,3,State,12.04,372,372-E,372-E,,Coles Rd,3,TenthsofMile,W,41.603103,-72.699964,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,88,Not Applicable,5,Dark-Not Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,1,Non-Junction,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0003300,Cromwell PD,127,42:04.0,C,Closed,08:12.0,,4,24600,4,MINOR ARTERIAL - NEW HPMS,2,Urban
1141755,1,Complete,1141755,1141755,41.057092,-73.537779,924076,Stamford,135,135,Stamford,3/4/24,2024,3,March,4,2,Monday,18:29:00,18,2403040050,K,Fatal (Kill),K,Fatal Injury (K),1,1,2,4,Local,0.27,1256,PROSPECT ST NO 2,PROSPECT ST NO 2,FOREST ST,,,,,41.057092,-73.537779,9,Pedestrian,88,Not Applicable,1,On Roadway,1,Clear,,,4,Dark-Lighted,1,Dry,0,None,,,,,97,Other,,,,,2,Intersection,3,T-Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,1,No,88,Not Applicable,TRUE,1,Public Road,1,"Trafficway, On Road",CT0013503,Stamford PD,27095,58:00.0,C,Closed,06:00.0,2403040050,,,,,,
1142042,1,Complete,1142042,1142042,41.372321,-71.989656,924054,Groton,59,59,Groton,3/10/24,2024,3,March,10,1,Sunday,7:33:00,7,2400094131,K,Fatal (Kill),K,Fatal Injury (K),1,0,0,1,Interstate,99.66,95,95-N,95-N,,Exit 89,2,TenthsofMile,S,41.372321,-71.989656,32,Tree (standing),88,Not Applicable,3,Median,99,Unknown,88,Not Applicable,5,Dark-Not Lighted,2,Wet,99,Unknown,88,Not Applicable,88,Not Applicable,99,Unknown,88,Not Applicable,88,Not Applicable,11,Through Roadway,1,Not at Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CTCSP0000,State Police,0691,16:05.0,O,Open,25:19.0,,5,65500,1,INTERSTATE - NEW HPMS,2,Urban
1144826,1,Complete,1144826,1144826,41.46760438,-72.83349218,924069,Wallingford,148,148,Wallingford,3/24/24,2024,3,March,24,1,Sunday,21:23:00,21,2400008317,K,Fatal (Kill),K,Fatal Injury (K),2,0,2,3,State,6.21,150,150-N,150-N,15-S-139 aka RIVER RD,,,,N,41.46760438,-72.83349218,14,Motor Vehicle in Operation,3,Angle,1,On Roadway,1,Clear,88,Not Applicable,4,Dark-Lighted,1,Dry,0,None,88,Not Applicable,88,Not Applicable,0,None,88,Not Applicable,88,Not Applicable,2,Intersection,2,Four-Way Intersection,1,No,1,No,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,FALSE,1,Public Road,1,"Trafficway, On Road",CT0014800,Wallingford PD,197,45:18.0,C,Closed,36:39.0,,2,2100,2,PRIN ART-OTHER FREEWAYS & EXPRESSWAYS - NEW HPMS,2,Urban
