https://www.ctcrash.uconn.edu/QueryTool2.action?qid=182359
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"1126594","2","1","Vehicle in Operation","2","Toyota","2023","2023","Rav4 Prime Xse","Red","W","Westbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","40","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","JTMFB3FV2PD156584","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Seymour","CT","","06483","true","false","Modzelewski's ","false","false","Berkshire Road","false","CT","false","false","88","USAA General Indemnity Company  GIC","","","","","","","","","","","","","","","","","","","","2024-03-24","","","",""
"1126931","1","1","Vehicle in Operation","1","Honda","2020","2020","Accord Lx","Red","E","Eastbound","","22","Motor Vehicle In Motion","2","Negotiating a Curve","0","None","88","Not Applicable","25","1","Towed Due to Disabling Damage","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","2","Curve Left","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","2","Negotiating a Curve","0","None","1HGCV1F13LA061511","6","Stop Sign","2","Yes","11","Cross Centerline","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Haven","CT","UnitedStates","06512","false","false","","false","false","Hemingway St","false","CT","false","false","88","State Farm","","","","","","","","","","","","","","","","","","","","2024-02-01","","","",""
"1126931","2","1","Vehicle in Operation","2","Chevrolet","2022","2022","Suburban","White","W","Westbound","","22","Motor Vehicle In Motion","2","Negotiating a Curve","0","None","88","Not Applicable","25","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","3","Curve Right","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","2","Negotiating a Curve","0","None","","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Haven","CT","UnitedStates","","false","false","","false","false","Hemingway St","false","CT","false","false","88","Self Insured - Use For City Nh Vehi","","","","","","","","","","","","","","","","","","","","","","","",""
"1126932","1","1","Vehicle in Operation","1","","","","","","N","Northbound","","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","5","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","false","true","","false","false","Ella T Grasso Blvd","false","","false","false","88","Unknown","","","","","","","","","","","","","","","","","","","","","","","",""
"1127377","1","1","Vehicle in Operation","1","Ford","1998","1998","Escort SE/Sport","Green","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","1FAFP13P1WW285419","1","No Control Device","88","Not Applicable","11","Cross Centerline","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Hartford","CT","","06120","true","false","Windsor Police Department","false","false","Poquonock Avenue","false","CT","false","false","88","Trumbull Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1127377","2","1","Vehicle in Operation","1","Subaru","2023","2023","Forester Touring","Gray","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","JF2SKARC8PH539310","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Windsor","CT","","06095","true","false","Windsor Police Department","false","false","Poquonock Avenue","false","CT","false","false","88","CSAA Affinity Insurance Company","","","","","","","","","","","","","","","","","","","","2024-10-13","","","",""
"1130292","1","1","Vehicle in Operation","1","Yamaha","2005","2005","V6A","Gray","E","Eastbound","false","41","Utility Pole","2","Negotiating a Curve","99","Unknown","88","Not Applicable","25","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","2","Curve Left","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","4","Disabling Damage","11","Motorcycle","2","Negotiating a Curve","99","Unknown","JYAVM01E45A085104","1","No Control Device","88","Not Applicable","8","Ran Off Roadway Right","41","Utility Pole","45","Fence","88","Not Applicable","1","No Special Function","88","Not applicable","","","Mastic Beach","NY","","11951","","false","Norwalk Police Department Inner Lot","false","false","W Cedar Street","false","NY","false","false","88","","","","","","","","","","","","","","","","","","","","","","","","",""
"1132188","1","1","Vehicle in Operation","1","Subaru","2014","2014","Xv Crosstrek 2.0i Li","Gray","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","45","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","JF2GPAGC3E8298733","1","No Control Device","88","Not Applicable","11","Cross Centerline","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Cheshire","CT","","06410","true","","1525 Highland Ave Cheshire , CT 06410","false","false","Highland Ave","false","CT","false","false","88","DAIRYLAND INSURANCE COMPANY","","","","","","","","","","","","","","","","","","","","","","","",""
"1132188","2","1","Vehicle in Operation","1","Ic","2019","2019","RE","Yellow","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","45","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","7","School Bus","1","Straight Ahead","0","None","4DRBWTAN0KB533424","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","88","Not Applicable","New Britain","CT","","06051","","","1525 Highland Ave Cheshire , CT 06410","false","false","Highland Ave","false","CT","false","false","2","New York Marine and General Insurance Company","   61222","DATTCO INC","New Britain","CT","","06051","1","Interstate Carrier","","","","","","2","10,001-26,000 lbs","11","Bus (seats for more than 15 occupants, including driver)","2","Bus","2025-02-01","88","Not Applicable","",""
"1132219","1","1","Vehicle in Operation","3","Honda","2005","2005","Accord EX","Silver","N","Northbound","false","41","Utility Pole","1","Straight Ahead","99","Unknown","88","Not Applicable","25","1","Towed Due to Disabling Damage","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","","1","Straight","2","Uphill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","1HGCM66865A071532","1","No Control Device","88","Not Applicable","8","Ran Off Roadway Right","41","Utility Pole","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","BRIDGEPORT","CT","UnitedStates","06606","true","false","485 Howard Ave   Buccanfuso","false","false","Reservoir Ave.","false","CT","false","false","88","LM-General Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1132260","1","1","Vehicle in Operation","3","Kia","2017","2017","Sportage","Silver","E","Eastbound","false","47","Other Fixed Object (wall, building, tunnel, etc.)","15","Wrong way (or Wrong Side)","0","None","88","Not Applicable","25","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","15","Wrong way (or Wrong Side)","0","None","KNDPM3AC4H7187341","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","8","Ran Off Roadway Right","40","Tree (standing)","47","Other Fixed Object (wall, building, tunnel, etc.)","1","No Special Function","88","Not applicable","","","Hartford","CT","UnitedStates","06120","","false","100 Marsh St. Wethersfield, CT","false","false","CHURCH ST","false","CT","false","false","88","LIBERTY MUTUAL","","","","","","","","","","","","","","","","","","","","","","","",""
"1132260","2","1","Vehicle in Operation","1","Honda","2014","2014","CR-V LX","Black","W","Westbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","2HKRM4H39EH689743","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Wethersfield","CT","","06109","","false","","false","false","CHURCH ST","false","CT","false","false","88","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1133272","1","3","Working Vehicle/Equipment","2","FRT","2018","2018","","Orange","W","Westbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","1","1","Straight","2","Uphill","3","Sector 3 (East) in the 12-point Clock Diagram","2","Minor Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","1","Straight Ahead","0","None","1FVACXFD1JHJM2802","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","88","Not Applicable","Fort Wayne","IN","","46808","","false","","false","false","School St","false","IN","false","false","88","Greenwhich Ins Co","  101328","Asplundh Tree Expert LLC","Willow Grove","PA","","19090","1","Interstate Carrier","","","","","","99","Unknown","3","Single-Unit Truck (3 or more axles)","97","Other","2024-08-01","88","Not Applicable","",""
"1133914","1","1","Vehicle in Operation","1","FREIGHTLINER","2023","2023","CASCADIA","WHITE","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","65","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","1","Straight Ahead","99","Unknown","3AKJHHDR6PSNH5838","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","4","Jackknife","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","88","Not Applicable","Moon township","PA","UnitedStates","15108","","false","","false","false","Interstate 84 Eastbound","false","IN","false","false","88","","  265752","FEDEX GROUND PACKAGE SYSTEM INC","Moon township","PA","","15108","1","Interstate Carrier","true","Moon township","PA","UnitedStates","15108    ","3","More than 26,000 lbs","6","Truck Tractor/Semi-Trailer","3","Van/Enclosed Box","","88","Not Applicable","",""
"1133914","2","1","Vehicle in Operation","1","INTERNATIONAL","2023","2023","MV607","White","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","65","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","1","Straight Ahead","99","Unknown","3HAEUMMN0PL853384","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","88","Not Applicable","CORAL GABLES","FL","","33134","","false","","false","false","Interstate 84 Eastbound","false","CT","false","false","88","CINCINNATI INDEMNITY COMPANY","58436","A & P COAT APRON LINEN SUPPLY LLC","MT VERNON","NY","","10550","1","Interstate Carrier","","MT VERNON","NY","","10550","","","2","Single-Unit Truck (2-axle and GVWR more than 10,000 lbs)","3","Van/Enclosed Box","2025-02-01","88","Not Applicable","",""
"1133914","3","1","Vehicle in Operation","2","AUDI","2008","2008","Q7","GRAY","W","Westbound","false","22","Motor Vehicle In Motion","15","Wrong way (or Wrong Side)","99","Unknown","88","Not Applicable","65","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","15","Wrong way (or Wrong Side)","99","Unknown","WA1BY94L78D008847","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Hartford","CT","","06106","true","false","","false","false","Interstate 84 Eastbound","false","WI","false","false","88","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","",""
"1134215","1","1","Vehicle in Operation","1","FREIGHTLINER","2023","2023","CASCADIA ","WHITE","N","Northbound","false","22","Motor Vehicle In Motion","99","Unknown","99","Unknown","88","Not Applicable","55","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","99","Unknown","99","Unknown","3AKBHKFG7PSUC2978","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","1","Yes","THOMASVILLE","NC","","27360","","","Buds","false","false","I-95","false","NC","false","false","1","ZURICH AMERICAN INSURANCE","090849","OLD DOMINION FREIGHT LINE INC","THOMASVILLE","NC","","27360","1","Interstate Carrier","","","","","","3","More than 26,000 lbs","7","Truck Tractor/Double","3","Van/Enclosed Box","2024-03-30","1","Yes","N/A",""
"1134215","2","1","Vehicle in Operation","1","Chevrolet","2018","2018","Impala Lt","Black","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","55","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","2G1105S32J9137871","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bridgeport","CT","UnitedStates","06606","","","Buds","false","false","I-95","false","CT","false","false","1","USAA General Indemnity Company  GIC","","","","","","","","","","","","","","","","","","","","2024-03-25","","","",""
